schema_version,suite,scope,benchmark_id,group,benchmark,baseline_benchmark,coverage_status,coverage_note,baseline_median_ns,baseline_ci_lower_ns,baseline_ci_upper_ns,current_median_ns,current_ci_lower_ns,current_ci_upper_ns,baseline_nalgebra_median_ns,baseline_nalgebra_ci_lower_ns,baseline_nalgebra_ci_upper_ns,baseline_faer_median_ns,baseline_faer_ci_lower_ns,baseline_faer_ci_upper_ns
1,exact,release-signal,rational_input_d7/solve_row_cleared_bareiss,rational_input_d7,solve_row_cleared_bareiss,solve_row_cleared_bareiss,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,29461.859337068163,29440.257352941175,29500.74031563845,,,,,,
1,exact,release-signal,rational_input_d8/det_big_rational_gaussian,rational_input_d8,det_big_rational_gaussian,det_big_rational_gaussian,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,194975.51470588235,193238.88771929825,197899.14772727274,,,,,,
1,exact,release-signal,rational_input_d8/det_row_cleared_bareiss,rational_input_d8,det_row_cleared_bareiss,det_row_cleared_bareiss,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,9307.4771617411807,9293.2876548576405,9327.7830877373308,,,,,,
1,exact,release-signal,rational_input_d8/det_sign_row_cleared_bareiss,rational_input_d8,det_sign_row_cleared_bareiss,det_sign_row_cleared_bareiss,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,8471.4478740214035,8463.6758089133091,8479.0832878705223,,,,,,
1,exact,release-signal,rational_input_d8/solve_big_rational_gaussian,rational_input_d8,solve_big_rational_gaussian,solve_big_rational_gaussian,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,272399.82469223486,272067.51851851854,272646.1037745098,,,,,,
1,exact,release-signal,rational_input_d8/solve_row_cleared_bareiss,rational_input_d8,solve_row_cleared_bareiss,solve_row_cleared_bareiss,current-only,Baseline v0.4.5 has no correctness-compatible benchmark row under la_stack_pre_rational_input_api.,,,,43365.191706517515,43314.056298773692,43432.587615283264,,,,,,
1,vs_linalg,release-signal,d16/la_stack_det,d16,la_stack_det,la_stack_det,comparable,,433.34066784459731,430.973731884058,435.38348741418764,463.80296127265103,460.39603261763409,472.33012103603517,,,,,,
1,vs_linalg,release-signal,d16/la_stack_det_from_ldlt,d16,la_stack_det_from_ldlt,la_stack_det_from_ldlt,comparable,,2.8806776055144336,2.8754279232906268,2.8841543768439752,2.8777542592908709,2.8710064229678891,2.8807725628498964,1.6869694530351844,1.6820282940336735,1.691833066370803,4.3127503089869572,4.2651866314898168,4.3742375315145363
1,vs_linalg,release-signal,d16/la_stack_det_from_lu,d16,la_stack_det_from_lu,la_stack_det_from_lu,comparable,,3.2763865769638247,3.2700444936448689,3.2825737845844216,3.2844233910509777,3.2802626051210346,3.2871763604294144,1.7665460642590141,1.7584242199581148,1.7734081843208913,4.7570820233729147,4.671861282890748,4.8081859889349179
1,vs_linalg,release-signal,d16/la_stack_det_via_lu,d16,la_stack_det_via_lu,la_stack_det_via_lu,comparable,,403.09882780082989,402.14042726795117,404.99118257261409,405.19400426939444,403.78158014582004,406.94594977973304,449.45610344381532,448.40147721045486,450.32172213191768,671.62870464618504,665.5611022272783,677.16293754289632
1,vs_linalg,release-signal,d16/la_stack_dot,d16,la_stack_dot,la_stack_dot,comparable,,2.3285682228239102,2.3236962534881798,2.3352830278097318,2.3393023607778165,2.3353744484042807,2.3411556649656324,1.8602276927511512,1.8592289616619428,1.860930162217945,3.2925578685885055,3.2864943265647324,3.2982809563299242
1,vs_linalg,release-signal,d16/la_stack_inf_norm,d16,la_stack_inf_norm,la_stack_inf_norm,comparable,,32.247878749407249,32.177616799609311,32.295151906624312,32.166430085281227,32.105962930584468,32.205136284534682,31.353979063243642,31.335346507565713,31.379620025715106,32.662963494709501,32.486805834181773,32.710889618485297
