phase,benchmark_id,sample_count,mean_ns,mean_ci_lower_ns,mean_ci_upper_ns,median_ns,median_ci_lower_ns,median_ci_upper_ns,confidence_level
baseline,d32/la_stack_det_via_lu,100,2047.9076218899284,2044.594171399755,2051.4123920872717,2046.0624938536557,2041.3038606747048,2051.063637354255,0.95
baseline,d32/la_stack_dot,100,4.005594745792157,3.9990547983889573,4.0129766268542,4.005044008903182,4.0012220974534545,4.0083585622839255,0.95
baseline,d32/la_stack_inf_norm,100,126.90308223583301,126.64717179554845,127.1803101356457,126.96311798060728,126.86053717923132,127.1746112917999,0.95
baseline,d32/la_stack_ldlt,100,2443.086353329656,2437.550954851939,2449.231707354483,2435.52098889465,2429.6358198451794,2441.070978335717,0.95
baseline,d32/la_stack_ldlt_solve,100,2796.5724208753354,2784.24450594989,2809.8832354084416,2779.6149964463393,2770.8428694158074,2790.4230555555555,0.95
baseline,d32/la_stack_lu,100,2113.534584588985,2103.6599150823995,2124.230350441618,2111.0872659501733,2100.5552685950415,2123.7427206533016,0.95
baseline,d32/la_stack_lu_solve,100,2793.9508415451774,2783.7078597214468,2805.111292976623,2782.321466803124,2768.6283143939395,2798.484344777563,0.95
baseline,d32/la_stack_norm2_sq,100,3.9593506811979666,3.950753390222079,3.9691294097762695,3.9536483462889596,3.9507604826267237,3.955358586507939,0.95
baseline,d32/la_stack_solve_from_ldlt,100,309.3770540397471,308.1096661840626,310.7822810641639,307.53942374499667,306.9733917039245,307.84513160166335,0.95
baseline,d32/la_stack_solve_from_lu,100,664.8933619679057,661.249899792479,669.1505794446448,661.045446713948,659.9519652777777,662.2213866666667,0.95
baseline,d32/nalgebra_cholesky,100,2066.750766424077,2060.33773682606,2073.629098964109,2058.36521827155,2054.021433399978,2064.9730621576155,0.95
baseline,d32/nalgebra_cholesky_solve,100,2697.5550187490944,2689.8391969414306,2705.980714357074,2689.9108787607984,2685.7882037533514,2693.2391730253657,0.95
baseline,d32/nalgebra_det_from_cholesky,100,2.9572685449828824,2.953186532820127,2.9616341995688016,2.9575668764860588,2.9533704308656255,2.9612696377300076,0.95
baseline,d32/nalgebra_det_from_lu,100,3.0659822463030126,3.0592350297046886,3.073864110262808,3.063231073004194,3.058571115995306,3.0667491876998865,0.95
baseline,d32/nalgebra_det_via_lu,100,2199.4549024004864,2193.3968851834775,2205.9918754316495,2194.7460702161725,2188.8989397699074,2200.584173139512,0.95
baseline,d32/nalgebra_dot,100,4.7174268788148135,4.70747513471785,4.7284081043335435,4.7174753890800005,4.711161018144647,4.722795879206347,0.95
baseline,d32/nalgebra_inf_norm,100,157.11108624966437,155.73053878684428,158.49403829389834,158.53327140255777,154.91656977880257,159.5608448432649,0.95
baseline,d32/nalgebra_lu,100,2140.739334275078,2134.8702288936274,2147.0965119462235,2135.819073466625,2126.3990384615386,2142.12029677113,0.95
baseline,d32/nalgebra_lu_solve,100,2721.4875569719125,2714.333503231828,2729.5349579621557,2710.234582397889,2703.7424869037773,2717.3389959916017,0.95
baseline,d32/nalgebra_norm,100,3.9101125780203363,3.9007965920340006,3.920963599757572,3.9071822755022425,3.8998697642766933,3.9102493904496547,0.95
baseline,d32/nalgebra_norm_squared,100,3.7801886434610323,3.7724615497442793,3.7877674726171318,3.7842635532354545,3.7772728379042992,3.7883241613028007,0.95
baseline,d32/nalgebra_solve_from_cholesky,100,536.2401552398085,533.6066891304733,539.2279787353921,533.1921386679521,531.199725151041,534.3393500511133,0.95
baseline,d32/nalgebra_solve_from_lu,100,327.6707433822347,327.01782252853815,328.4118215176349,327.4233276786394,327.04018825645124,327.75330304914723,0.95
baseline,d4/delaunay_scaled_norm,100,2.399670708973643,2.3921996715929286,2.4082207735855614,2.3966188347732675,2.391592223030098,2.400629581064185,0.95
baseline,d4/faer_det_from_ldlt,100,0.9826246201220973,0.9803187666775859,0.9851464574960156,0.9804318751985073,0.97939547658448,0.9821959892591566,0.95
baseline,d4/faer_det_from_lu,100,1.239230955466436,1.2369150129789162,1.2418806018082666,1.237809172948956,1.2364530940897243,1.238467637320522,0.95
baseline,d4/faer_det_via_lu,100,181.01403607043608,180.0712557401763,182.10435028497267,179.46078924202118,179.00082239292504,180.9103182397153,0.95
baseline,d4/faer_dot_native,100,2.6715535373554484,2.6600276855049563,2.683669745651624,2.6374727019075666,2.6247867528100004,2.695178963668248,0.95
baseline,d4/faer_inf_norm,100,2.046070044230367,2.0439314054262687,2.0487763734721214,2.045069197727633,2.0444716629706225,2.0455664219748027,0.95
baseline,d4/faer_ldlt,100,126.40850208150405,126.12550791390947,126.69099970269271,126.390939419908,126.10741358337755,126.85194721964729,0.95
baseline,d4/faer_ldlt_solve,100,173.40713709779374,172.86268623070066,173.97464412442142,172.5801836169029,172.35986604196796,173.1986416106542,0.95
baseline,d4/faer_lu,100,176.77204945606573,175.68584982625987,177.95680140082976,175.537450709913,174.26180812893358,176.3296398386302,0.95
baseline,d4/faer_lu_solve,100,248.44282971821883,245.79196397522307,251.22606570985192,241.52526920712,239.31700735578784,243.22749256395002,0.95
baseline,d4/faer_norm2_sq,100,4.136002612806061,4.132161383037027,4.1402714240734735,4.137783381158898,4.136209725648678,4.139462799318036,0.95
baseline,d4/faer_norm_l2,100,13.874876552113845,13.822774070486087,13.93017583006199,13.879420133193047,13.80308947003747,13.921256449509555,0.95
baseline,d4/faer_solve_from_ldlt,100,44.967396760234706,44.769896654102276,45.17754120465734,44.82291023042963,44.57307343686149,44.949929161016485,0.95
baseline,d4/faer_solve_from_lu,100,61.85596915246217,61.12307039207172,62.61650172254662,59.876878630833765,59.475495314144965,60.22607996292207,0.95
baseline,d4/iterative_f64_hypot,100,5.433425848599435,5.418275017025367,5.450684682190387,5.430736956878281,5.418899834111014,5.4407949055021625,0.95
baseline,d4/la_stack_det,100,2.5467645397700958,2.540227082824392,2.553552656927978,2.5537463679528294,2.5519270947417345,2.555683558826972,0.95
baseline,d4/la_stack_det_from_ldlt,100,0.7681714491867778,0.7678127800815829,0.7686954769905305,0.7679683639564061,0.7678375366025257,0.7680860499373898,0.95
baseline,d4/la_stack_det_from_lu,100,0.8676277264499827,0.8670659131468257,0.8684389654891475,0.867210700210185,0.8670549715475353,0.8673766126381303,0.95
